,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID,CFPARAMS
0,1610612737,Atlanta Hawks,3,2,1,0.667,144.0,106.7,108.1,106.4,107.5,0.3,0.6,0.637,2.08,18.5,0.256,0.704,0.477,0.123,0.504,0.549,104.0,102.83,85.69,309,0.517,1,3,8,8,3,22,12,15,11,2,11,23,19,25,3,22,21,9,11,10,Atlanta Hawks
1,1610612738,Boston Celtics,3,3,0,1.0,144.0,123.8,124.3,112.9,116.8,10.9,7.5,0.504,1.67,16.8,0.258,0.719,0.507,0.134,0.611,0.65,99.2,97.33,81.11,292,0.54,1,1,1,1,3,1,25,8,27,15,20,22,16,12,8,2,1,26,9,10,Boston Celtics
2,1610612751,Brooklyn Nets,2,1,1,0.5,96.0,108.9,110.2,115.2,118.7,-6.4,-8.5,0.615,1.66,17.8,0.25,0.635,0.446,0.147,0.53,0.564,100.8,98.75,82.29,197,0.452,17,13,8,13,21,15,28,27,13,17,15,24,29,30,18,15,15,22,28,10,Brooklyn Nets
3,1610612766,Charlotte Hornets,3,2,1,0.667,144.0,116.7,118.0,105.1,108.1,11.6,9.9,0.604,1.95,19.0,0.318,0.657,0.498,0.138,0.56,0.591,105.6,103.5,86.25,311,0.543,1,3,8,8,3,6,13,7,16,6,7,9,26,16,10,7,5,8,8,10,Charlotte Hornets
4,1610612741,Chicago Bulls,3,1,2,0.333,144.0,104.1,104.0,111.5,111.9,-7.5,-7.9,0.565,1.61,15.3,0.244,0.764,0.473,0.127,0.475,0.531,100.5,100.33,83.61,300,0.441,1,13,20,20,3,29,16,26,22,20,25,25,5,27,5,29,27,17,29,10,Chicago Bulls
5,1610612739,Cleveland Cavaliers,2,1,1,0.5,96.0,115.9,118.3,104.0,103.6,11.9,14.7,0.663,1.63,20.9,0.266,0.743,0.538,0.178,0.611,0.647,99.3,98.5,82.08,197,0.586,17,13,8,13,21,4,5,3,5,19,1,20,9,4,29,1,2,23,3,10,Cleveland Cavaliers
6,1610612742,Dallas Mavericks,2,1,1,0.5,96.0,119.3,124.1,101.4,103.6,18.0,20.5,0.5,1.48,15.0,0.33,0.771,0.553,0.138,0.579,0.618,100.8,97.75,81.46,195,0.599,17,13,8,13,21,2,6,1,28,23,26,6,2,2,11,4,3,25,1,10,Dallas Mavericks
7,1610612743,Denver Nuggets,3,2,1,0.667,144.0,111.9,113.2,111.8,115.2,0.1,-2.1,0.656,1.42,19.4,0.266,0.682,0.481,0.19,0.583,0.614,106.5,104.33,86.94,311,0.487,1,3,8,8,3,10,23,18,6,25,6,19,22,23,30,3,4,5,17,10,Denver Nuggets
8,1610612765,Detroit Pistons,3,1,2,0.333,144.0,105.4,108.4,116.1,117.9,-10.7,-9.4,0.716,1.98,18.5,0.326,0.686,0.496,0.136,0.489,0.527,104.9,102.67,85.56,308,0.454,1,13,20,20,3,19,27,28,3,5,12,7,21,19,9,28,29,11,27,10,Detroit Pistons
9,1610612744,Golden State Warriors,2,1,1,0.5,96.0,107.9,110.3,106.3,108.7,1.6,1.6,0.747,1.76,20.4,0.286,0.737,0.505,0.166,0.548,0.589,112.8,110.25,91.87,223,0.512,17,13,8,13,21,14,14,12,1,14,2,14,12,13,26,9,6,1,12,10,Golden State Warriors
10,1610612745,Houston Rockets,3,0,3,0.0,144.0,106.2,108.4,118.3,120.8,-12.1,-12.4,0.516,1.43,14.9,0.324,0.74,0.514,0.143,0.502,0.533,104.7,102.5,85.42,308,0.417,1,25,27,25,3,19,30,30,25,24,27,8,11,8,16,25,26,12,30,10,Houston Rockets
11,1610612754,Indiana Pacers,3,1,2,0.333,144.0,110.8,114.4,114.0,114.7,-3.2,-0.3,0.6,1.93,17.6,0.345,0.679,0.502,0.132,0.513,0.547,108.4,106.33,88.61,319,0.485,1,13,20,20,3,8,22,16,18,8,16,4,23,14,7,21,22,3,18,10,Indiana Pacers
12,1610612746,LA Clippers,2,2,0,1.0,96.0,104.2,105.4,99.6,101.0,4.7,4.4,0.538,1.17,15.8,0.239,0.796,0.552,0.177,0.54,0.581,103.1,101.75,84.79,203,0.548,17,3,1,1,21,28,2,9,23,29,23,26,1,3,28,12,11,14,7,10,LA Clippers
