Team,eFG% Rank,eFG%,Loc eFG% Rank,Loc eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Average,,53.0%,,53.4%,,62.8%,,41.3%,,41.8%,,41.5%,,38.7%,,35.5%,,36.2%
Atlanta,25,50.2%,25,52.4%,6,67.5%,13,41.4%,15,41.2%,16,41.3%,5,48.0%,30,23.0%,29,30.2%
Boston,3,57.7%,6,54.5%,13,65.0%,7,45.3%,8,47.8%,6,46.1%,8,45.7%,14,36.3%,10,39.0%
Brooklyn,8,55.7%,26,52.4%,12,65.2%,5,50.8%,2,58.1%,2,53.3%,3,50.0%,26,30.1%,20,34.1%
Charlotte,6,56.6%,8,54.1%,24,59.0%,9,44.4%,11,46.7%,9,45.2%,6,47.4%,6,42.2%,3,43.4%
Chicago,26,49.8%,21,52.6%,25,58.3%,27,33.9%,7,49.2%,15,41.8%,22,31.8%,18,34.5%,21,34.0%
Cleveland,5,57.1%,22,52.4%,5,69.7%,23,36.8%,19,38.1%,22,37.1%,17,37.5%,1,46.3%,1,44.6%
Dallas,1,59.1%,2,55.9%,29,56.1%,2,56.2%,21,37.5%,4,50.0%,1,60.0%,10,38.3%,2,43.5%
Denver,1,59.1%,10,53.7%,2,70.6%,22,36.9%,13,44.4%,19,39.6%,10,44.7%,4,42.7%,4,43.3%
Detroit,28,49.3%,1,56.0%,30,50.5%,15,40.5%,28,23.1%,23,36.0%,3,50.0%,25,30.9%,17,36.0%
Golden State,4,57.5%,30,51.5%,3,70.6%,6,50.7%,3,50.0%,3,50.5%,27,17.4%,2,43.6%,11,38.5%
Houston,27,49.6%,19,53.1%,21,60.9%,24,36.7%,30,22.2%,28,32.2%,25,21.4%,11,38.1%,16,36.4%
Indiana,21,51.4%,7,54.2%,20,61.1%,16,40.3%,17,40.0%,18,40.2%,26,18.2%,12,37.6%,23,33.5%
LA Clippers,19,52.1%,28,52.1%,14,63.9%,11,42.9%,3,50.0%,7,46.0%,28,16.7%,16,34.8%,25,32.1%
LA Lakers,30,46.0%,4,54.8%,4,70.1%,28,32.6%,25,33.3%,27,32.8%,28,16.7%,29,23.5%,30,21.6%
Memphis,17,52.6%,17,53.2%,18,61.4%,25,36.6%,29,22.7%,26,33.7%,11,44.1%,8,38.7%,7,40.0%
Miami,24,50.3%,16,53.3%,26,58.1%,17,40.2%,3,50.0%,13,42.6%,17,37.5%,23,32.1%,22,33.6%
Milwaukee,7,56.6%,14,53.4%,1,74.0%,30,21.7%,14,42.9%,29,31.8%,23,28.6%,5,42.4%,8,39.7%
Minnesota,20,51.7%,5,54.6%,17,62.0%,12,41.9%,10,46.9%,12,43.6%,24,27.3%,21,32.3%,28,31.0%
New Orleans,15,52.8%,9,53.9%,28,56.7%,10,43.5%,11,46.7%,10,44.6%,30,15.4%,3,43.1%,13,38.0%
New York,18,52.2%,12,53.6%,7,66.7%,14,40.8%,15,41.2%,17,40.9%,21,33.3%,24,31.9%,24,32.4%
Oklahoma City,29,48.7%,11,53.6%,11,65.3%,26,35.2%,24,34.8%,24,35.1%,17,37.5%,27,30.0%,26,31.6%
Orlando,23,51.0%,13,53.5%,19,61.3%,3,51.5%,23,35.1%,8,45.6%,13,42.9%,28,28.8%,27,31.1%
Philadelphia,14,53.7%,20,52.9%,22,60.7%,20,38.3%,1,60.5%,5,47.6%,16,39.4%,17,34.7%,18,35.9%
Phoenix,16,52.6%,24,52.4%,7,66.7%,8,45.0%,26,31.7%,19,39.6%,9,45.2%,22,32.2%,15,36.7%
Portland,11,54.6%,3,55.0%,16,62.9%,29,27.5%,20,37.9%,30,31.2%,13,42.9%,7,40.2%,6,40.9%
Sacramento,10,54.6%,29,51.9%,27,56.9%,1,59.7%,8,47.8%,1,56.7%,20,35.7%,19,34.4%,19,34.7%
San Antonio,13,54.2%,18,53.2%,15,63.4%,19,38.4%,3,50.0%,14,42.3%,12,43.8%,15,35.6%,14,37.5%
Toronto,22,51.0%,27,52.3%,23,60.0%,18,39.8%,27,26.1%,25,34.9%,7,46.9%,13,37.2%,5,40.9%
Utah,12,54.2%,15,53.4%,9,66.1%,21,37.6%,18,38.5%,21,37.8%,2,55.9%,20,33.3%,12,38.2%
Washington,9,55.2%,23,52.4%,10,65.4%,4,51.0%,22,35.6%,11,43.8%,15,41.7%,9,38.3%,9,39.3%
