Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,18/10/2022 17:30,TD Garden,Boston Celtics,Philadelphia 76ers,
2,1,18/10/2022 20:00,Chase Center,Golden State Warriors,Los Angeles Lakers,
3,1,19/10/2022 17:00,Little Caesars Arena,Detroit Pistons,Orlando Magic,
4,1,19/10/2022 17:00,Gainbridge Fieldhouse,Indiana Pacers,Washington Wizards,
5,1,19/10/2022 17:30,State Farm Arena,Atlanta Hawks,Houston Rockets,
6,1,19/10/2022 17:30,Barclays Center,Brooklyn Nets,New Orleans Pelicans,
7,1,19/10/2022 17:30,FTX Arena,Miami Heat,Chicago Bulls,
8,1,19/10/2022 17:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,
9,1,19/10/2022 17:30,FedExForum,Memphis Grizzlies,New York Knicks,
10,1,19/10/2022 18:00,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,
11,1,19/10/2022 18:00,AT&T Center,San Antonio Spurs,Charlotte Hornets,
12,1,19/10/2022 19:00,Vivint Arena,Utah Jazz,Denver Nuggets,
13,1,19/10/2022 20:00,Footprint Center,Phoenix Suns,Dallas Mavericks,
14,1,19/10/2022 20:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,
15,1,20/10/2022 17:30,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,
16,1,20/10/2022 20:00,Crypto.com Arena,Los Angeles Lakers,LA Clippers,
17,1,21/10/2022 17:00,Spectrum Center,Charlotte Hornets,New Orleans Pelicans,
18,1,21/10/2022 17:00,Gainbridge Fieldhouse,Indiana Pacers,San Antonio Spurs,
19,1,21/10/2022 17:00,Capital One Arena,Washington Wizards,Chicago Bulls,
20,1,21/10/2022 17:30,State Farm Arena,Atlanta Hawks,Orlando Magic,
21,1,21/10/2022 17:30,Barclays Center,Brooklyn Nets,Toronto Raptors,
22,1,21/10/2022 17:30,FTX Arena,Miami Heat,Boston Celtics,
23,1,21/10/2022 17:30,Madison Square Garden,New York Knicks,Detroit Pistons,
24,1,21/10/2022 18:00,Toyota Center,Houston Rockets,Memphis Grizzlies,
25,1,21/10/2022 18:00,Target Center,Minnesota Timberwolves,Utah Jazz,
26,1,21/10/2022 20:00,Chase Center,Golden State Warriors,Denver Nuggets,
27,1,21/10/2022 20:00,Moda Center,Portland Trail Blazers,Phoenix Suns,
28,1,22/10/2022 16:00,Wells Fargo Center,Philadelphia 76ers,San Antonio Spurs,
29,1,22/10/2022 17:00,Gainbridge Fieldhouse,Indiana Pacers,Detroit Pistons,
30,1,22/10/2022 17:00,Amway Center,Orlando Magic,Boston Celtics,
